Date,Total_Consumption
2020-01-01,10.6
2020-01-02,11.5
2020-01-03,24.3
2020-01-04,12.1
2020-01-05,8.5
2020-01-06,9.5
2020-01-07,6.8
2020-01-08,4.0
2020-01-09,5.0
2020-01-10,7.0
2020-01-11,10.2
2020-01-12,7.7
2020-01-13,10.5
2020-01-14,9.9
2020-01-15,9.6
2020-01-16,20.5
2020-01-17,19.4
2020-01-18,25.6
2020-01-19,8.6
2020-01-20,7.5
2020-01-21,10.5
2020-01-22,5.5
2020-01-23,10.3
2020-01-24,18.8
2020-01-25,21.7
2020-01-26,8.4
2020-01-27,7.2
2020-01-28,20.5
2020-01-29,6.8
2020-01-30,10.4
2020-01-31,28.7
2020-02-01,18.1
2020-02-02,8.0
2020-02-03,8.2
2020-02-04,8.3
2020-02-05,7.7
2020-02-06,5.4
2020-02-07,6.6
2020-02-08,2.9
2020-02-09,6.8
2020-02-10,5.4
2020-02-11,8.7
2020-02-12,18.0
2020-02-13,8.4
2020-02-14,15.2
2020-02-15,9.2
2020-02-16,5.8
2020-02-17,3.5
2020-02-18,3.7
2020-02-19,4.3
2020-02-20,11.2
2020-02-21,7.9
2020-02-22,21.8
2020-02-23,16.3
2020-02-24,9.0
2020-02-25,6.3
2020-02-26,5.1
2020-02-27,9.9
2020-02-28,13.5
2020-03-01,52.2
2020-03-02,33.3
2020-03-03,33.0
2020-03-04,24.3
2020-03-05,46.2
2020-03-06,33.599999999999994
2020-03-07,27.0
2020-03-08,17.4
2020-03-09,45.0
2020-03-10,47.1
2020-03-11,57.3
2020-03-12,29.4
2020-03-13,28.5
2020-03-14,41.1
2020-03-15,58.5
2020-03-16,22.8
2020-03-17,50.1
2020-03-18,27.9
2020-03-19,21.0
2020-03-20,28.200000000000003
2020-03-21,51.6
2020-03-22,44.7
2020-03-23,25.8
2020-03-24,33.900000000000006
2020-03-25,50.1
2020-03-26,21.6
2020-03-27,34.8
2020-03-28,55.5
2020-03-29,50.7
2020-03-30,28.5
2020-03-31,43.8
2020-04-01,57.0
2020-04-02,65.4
2020-04-03,47.400000000000006
2020-04-04,63.3
2020-04-05,36.0
2020-04-06,32.7
2020-04-07,57.900000000000006
2020-04-08,23.4
2020-04-09,28.8
2020-04-10,57.900000000000006
2020-04-11,50.7
2020-04-12,39.900000000000006
2020-04-13,55.5
2020-04-14,42.900000000000006
2020-04-15,36.900000000000006
2020-04-16,43.2
2020-04-17,54.3
2020-04-18,41.1
2020-04-19,35.400000000000006
2020-04-20,39.3
2020-04-21,44.400000000000006
2020-04-22,40.8
2020-04-23,32.099999999999994
2020-04-24,30.0
2020-04-25,60.900000000000006
2020-04-26,58.2
2020-04-27,33.3
2020-04-28,41.1
2020-04-29,42.3
2020-04-30,37.5
2020-05-01,34.5
2020-05-02,33.900000000000006
2020-05-03,27.6
2020-05-04,44.1
2020-05-05,52.2
2020-05-06,28.8
2020-05-07,61.2
2020-05-08,24.6
2020-05-09,55.5
2020-05-10,32.7
2020-05-11,36.3
2020-05-12,63.0
2020-05-13,34.8
2020-05-14,44.400000000000006
2020-05-15,34.2
2020-05-16,59.1
2020-05-17,50.400000000000006
2020-05-18,30.3
2020-05-19,46.5
2020-05-20,39.0
2020-05-21,44.400000000000006
2020-05-22,38.1
2020-05-23,40.8
2020-05-24,31.200000000000003
2020-05-25,36.6
2020-05-26,33.0
2020-05-27,39.900000000000006
2020-05-28,30.6
2020-05-29,30.9
2020-05-30,52.2
2020-05-31,33.3
2020-06-01,30.3
2020-06-02,39.3
2020-06-03,36.6
2020-06-04,31.5
2020-06-05,36.6
2020-06-06,50.1
2020-06-07,36.3
2020-06-08,25.200000000000003
2020-06-09,37.2
2020-06-10,33.0
2020-06-11,31.5
2020-06-12,73.19999999999999
2020-06-13,0.6000000000000001
2020-06-15,25.200000000000003
2020-06-16,48.0
2020-06-17,32.099999999999994
2020-06-18,28.5
2020-06-19,30.6
2020-06-20,35.400000000000006
2020-06-21,27.3
2020-06-22,27.3
2020-06-23,32.400000000000006
2020-06-24,47.1
2020-06-25,25.200000000000003
2020-06-26,41.7
2020-06-27,57.3
2020-06-28,39.0
2020-06-29,38.1
2020-06-30,41.7
2020-07-01,51.6
2020-07-02,81.6
2020-07-03,33.599999999999994
2020-07-04,29.4
2020-07-05,20.1
2020-07-06,36.6
2020-07-07,41.1
2020-07-08,19.200000000000003
2020-07-09,33.0
2020-07-10,47.7
2020-07-11,36.3
2020-07-12,33.900000000000006
2020-07-13,17.4
2020-07-14,33.0
2020-07-15,23.4
2020-07-16,24.9
2020-07-17,19.5
2020-07-18,24.3
2020-07-19,28.8
2020-07-20,23.700000000000003
2020-07-21,25.8
2020-07-22,22.5
2020-07-23,27.6
2020-07-24,18.9
2020-07-25,17.700000000000003
2020-07-26,21.3
2020-07-27,30.0
2020-07-28,38.1
2020-07-29,24.9
2020-07-30,26.1
2020-07-31,36.0
2020-08-01,30.0
2020-08-02,44.400000000000006
2020-08-03,67.80000000000001
2020-08-04,34.8
2020-08-05,33.0
2020-08-06,20.1
2020-08-07,27.3
2020-08-08,9.9
2020-08-09,19.200000000000003
2020-08-10,28.5
2020-08-11,53.1
2020-08-12,30.0
2020-08-13,23.1
2020-08-14,14.4
2020-08-15,36.900000000000006
2020-08-16,25.8
2020-08-17,13.5
2020-08-18,26.1
2020-08-19,17.700000000000003
2020-08-20,13.8
2020-08-21,27.6
2020-08-22,45.0
2020-08-23,20.700000000000003
2020-08-24,26.1
2020-08-25,18.9
2020-08-26,26.700000000000003
2020-08-27,12.9
2020-08-28,24.0
2020-08-29,26.1
2020-08-30,34.5
2020-08-31,22.200000000000003
2020-09-01,29.1
2020-09-02,25.8
2020-09-03,28.8
2020-09-04,33.3
2020-09-05,24.3
2020-09-06,21.9
2020-09-07,13.8
2020-09-08,27.3
2020-09-09,34.5
2020-09-10,19.200000000000003
2020-09-11,22.8
2020-09-12,39.6
2020-09-13,35.400000000000006
2020-09-14,31.200000000000003
2020-09-15,26.1
2020-09-16,36.3
2020-09-17,17.700000000000003
2020-09-18,25.8
2020-09-19,44.7
2020-09-20,48.0
2020-09-21,23.4
2020-09-22,21.3
2020-09-23,30.6
2020-09-24,24.0
2020-09-25,17.4
2020-09-26,28.200000000000003
2020-09-27,38.1
2020-09-28,18.9
2020-09-29,20.1
2020-09-30,50.400000000000006
2020-10-01,48.0
2020-10-02,28.5
2020-10-03,24.3
2020-10-04,38.1
2020-10-05,58.8
2020-10-06,38.400000000000006
2020-10-07,26.700000000000003
2020-10-08,26.1
2020-10-09,19.5
2020-10-10,41.7
2020-10-11,25.200000000000003
2020-10-12,36.0
2020-10-13,23.4
2020-10-14,37.5
2020-10-15,25.5
2020-10-16,21.0
2020-10-17,65.1
2020-10-18,23.4
2020-10-19,22.200000000000003
2020-10-20,25.5
2020-10-21,49.2
2020-10-22,19.5
2020-10-23,33.900000000000006
2020-10-24,54.0
2020-10-25,58.8
2020-10-26,17.4
2020-10-27,17.700000000000003
2020-10-28,21.0
2020-10-29,40.8
2020-10-30,30.6
2020-10-31,36.900000000000006
2020-11-01,54.3
2020-11-02,73.80000000000001
2020-11-03,62.7
2020-11-04,54.900000000000006
2020-11-05,23.700000000000003
2020-11-06,18.0
2020-11-07,18.0
2020-11-08,19.8
2020-11-09,17.4
2020-11-10,56.400000000000006
2020-11-11,48.0
2020-11-12,27.9
2020-11-13,26.1
2020-11-14,51.900000000000006
2020-11-15,43.8
2020-11-16,26.700000000000003
2020-11-17,22.5
2020-11-18,74.1
2020-11-19,19.8
